,_id,btce-price,btce-buy,btce-volume,btce-low,btce-sell,btce-high,btce-time_stamp,cd-value,epoch,btce-err,cd-updated,cd-price,cd-err
112,57ff207a9335c039eb7f1d6c,634.672,635.599,2787699.13589,630.0,634.673,638.58,1476337786.0,1,112,0,1476337740.0,636.4875,0.0
113,57ff20899335c039eb7f1d6e,634.672,635.599,2787699.13589,630.0,634.673,638.58,1476337800.0,false,113,0,,,
114,57ff20989335c039eb7f1d71,634.672,635.6,2787158.23585,630.0,634.672,638.58,1476337814.0,false,114,0,,,
115,57ff20a79335c039eb7f1d74,635.599,635.599,2787158.23585,630.0,634.673,638.58,1476337830.0,false,115,0,,,
116,57ff20b69335c039eb7f1d76,635.599,635.6,2787158.23585,630.0,634.672,638.58,1476337844.0,1,116,0,1476337800.0,636.5225,0.0
117,57ff20c59335c039eb7f1d79,635.599,635.599,2787186.25814,630.0,634.673,638.58,1476337860.0,false,117,0,,,
118,57ff20d49335c039eb7f1d7c,635.599,635.6,2787186.25814,630.0,634.673,638.58,1476337874.0,false,118,0,,,
119,57ff20e39335c039eb7f1d7f,634.672,635.599,2787186.25814,630.0,634.673,638.58,1476337890.0,false,119,0,,,
120,57ff20f29335c039eb7f1d82,634.672,635.599,2787186.25814,630.0,634.673,638.58,1476337905.0,1,120,0,1476337860.0,636.5213,0.0
121,57ff21019335c039eb7f1d84,634.672,635.599,2784088.3058599997,630.0,634.673,638.58,1476337921.0,false,121,0,,,
122,57ff21109335c039eb7f1d87,634.672,635.599,2784088.3058599997,630.0,634.673,638.58,1476337935.0,false,122,0,,,
123,57ff211f9335c039eb7f1d8a,635.6,635.6,2784088.3058599997,630.0,634.672,638.58,1476337949.0,false,123,0,,,
124,57ff212e9335c039eb7f1d8c,635.6,635.599,2784088.3058599997,630.0,634.673,638.58,1476337965.0,1,124,0,1476337920.0,636.5463,0.0
125,57ff213d9335c039eb7f1d8e,635.6,635.599,2784088.3058599997,630.0,634.673,638.58,1476337979.0,false,125,0,,,
