,_id,threshold_setting,prev_tx_count_in,prev_mass_out,prev_value_in,epoch,epoch_time_stamp,prev_mass_in,prev_value_out,prev_tx_count_out
80,57ff1e9a9335c039eb7f1d1a,50.0,25,0,4612159670,80,1476337306.117891,0,4441315306,25
81,57ff1ea99335c039eb7f1d1c,50.0,23,0,2903710737,81,1476337321.120125,0,2474020766,23
82,57ff1eb89335c039eb7f1d1f,50.0,40,0,16068324859,82,1476337336.122951,0,13318821256,40
83,57ff1ec79335c039eb7f1d22,50.0,37,0,21976760629,83,1476337351.124192,0,21245872584,37
84,57ff1ed69335c039eb7f1d24,50.0,41,0,11600500445,84,1476337366.1265118,0,11073380004,41
85,57ff1ee59335c039eb7f1d26,50.0,30,0,16419568379,85,1476337381.128791,0,6620360825,30
86,57ff1ef49335c039eb7f1d28,50.0,26,0,5625987518,86,1476337396.131254,0,5505402810,26
87,57ff1f039335c039eb7f1d2a,50.0,34,0,10051499023,87,1476337411.134922,0,9794926573,34
88,57ff1f129335c039eb7f1d2c,50.0,27,0,3099178359,88,1476337426.138798,0,1789339986,27
89,57ff1f219335c039eb7f1d2e,50.0,26,0,2114083403,89,1476337441.140175,0,1106797965,26
90,57ff1f309335c039eb7f1d33,50.0,35,0,40800980527,90,1476337456.1412811,0,29920441221,35
91,57ff1f3f9335c039eb7f1d35,50.0,39,0,11836403955,91,1476337471.1439462,0,7083773216,39
92,57ff1f4e9335c039eb7f1d39,50.0,30,0,29072972053,92,1476337486.146948,0,25873075296,30
93,57ff1f5d9335c039eb7f1d3c,50.0,39,0,18244458262,93,1476337501.1483278,0,17502907681,39
94,57ff1f6c9335c039eb7f1d40,50.0,42,0,36797349997,94,1476337516.150402,0,35788850149,42
95,57ff1f7b9335c039eb7f1d43,50.0,29,0,9584605789,95,1476337531.153002,0,8269176767,29
96,57ff1f8a9335c039eb7f1d45,50.0,44,0,7938065623,96,1476337546.154259,0,6694311053,44
97,57ff1f999335c039eb7f1d47,50.0,28,0,2507241998,97,1476337561.157258,0,1861254312,28
98,57ff1fa89335c039eb7f1d49,50.0,30,0,4539742185,98,1476337576.1602619,0,3883512260,30
99,57ff1fb79335c039eb7f1d4b,50.0,29,0,7562543665,99,1476337591.163317,0,6369992673,29
100,57ff1fc69335c039eb7f1d4e,50.0,34,0,26918298228,100,1476337606.167618,0,26030042274,34
101,57ff1fd59335c039eb7f1d50,50.0,30,0,4031395248,101,1476337621.168946,0,3005309542,30
102,57ff1fe49335c039eb7f1d52,50.0,31,0,3168552909,102,1476337636.1717632,0,2254830981,31
103,57ff1ff39335c039eb7f1d54,50.0,28,0,5151275688,103,1476337651.174353,0,3720284144,28
104,57ff20029335c039eb7f1d57,50.0,24,0,29988178417,104,1476337666.177258,0,16356937070,24
105,57ff20119335c039eb7f1d59,50.0,37,0,4652129457,105,1476337681.180311,0,4305377617,37
106,57ff20209335c039eb7f1d5b,50.0,33,0,6817620928,106,1476337696.183449,0,5726331568,33
107,57ff202f9335c039eb7f1d5d,50.0,27,0,8304306749,107,1476337711.184839,0,7388123432,27
108,57ff203e9335c039eb7f1d60,50.0,29,0,12490721265,108,1476337726.188695,0,9828223380,29
109,57ff204d9335c039eb7f1d63,50.0,30,0,40405598325,109,1476337741.192952,0,25829407930,30
110,57ff205c9335c039eb7f1d65,50.0,25,0,5450956558,110,1476337756.19415,0,4036734597,25
111,57ff206b9335c039eb7f1d69,50.0,33,0,29188676204,111,1476337771.197059,0,27274002933,33
112,57ff207a9335c039eb7f1d6b,50.0,43,0,5692642689,112,1476337786.199684,0,2737675042,43
113,57ff20899335c039eb7f1d6d,50.0,45,0,5520486584,113,1476337801.2030811,0,5347377939,45
114,57ff20989335c039eb7f1d70,50.0,42,0,19457206212,114,1476337816.205577,0,18936377406,42
115,57ff20a79335c039eb7f1d73,50.0,31,0,17467080201,115,1476337831.208233,0,17126209862,31
116,57ff20b69335c039eb7f1d75,50.0,74,0,4006485328,116,1476337846.20935,0,3958521522,74
117,57ff20c59335c039eb7f1d78,50.0,58,0,16838035922,117,1476337861.211168,0,15183144784,58
118,57ff20d49335c039eb7f1d7b,50.0,37,0,12112310029,118,1476337876.212343,0,12033515538,37
